val,perc,sel_perc
9.12,2.01,2
8.74,4,4
8.5,6,6
8.33,7.99,8
8.18,10,10
8.04,12.01,12
7.9,14,14
7.75,16,16
7.61,17.99,18
7.45,20,20
7.29,22.01,22
7.13,24,24
6.96,26,26
6.8,27.99,28
6.64,30,30
6.49,32.01,32
6.35,34,34
6.21,36,36
6.09,37.99,38
5.97,40,40
5.85,42.01,42
5.75,44,44
5.65,46,46
5.55,47.99,48
5.46,50,50
5.37,52.01,52
5.29,54,54
5.2,56,56
5.13,57.99,58
5.05,60,60
4.98,62.01,62
4.92,64,64
4.85,66,66
4.79,67.99,68
4.73,70,70
4.67,72.01,72
4.61,74,74
4.56,76,76
4.51,77.99,78
4.46,80,80
4.41,82.01,82
4.36,84,84
4.31,86,86
4.27,87.99,88
4.22,90,90
4.17,92.01,92
4.13,94,94
4.09,96,96
4.04,97.99,98
4,100,100